name,type,for_profit,admissions_rate,average_net_price_public,average_net_price_private,median_10yr_earnings,median_debt,completion_rate,average_net_price
Covenant College,Private,No,0.9523,NULL,22202,41200,18822,0.6947,22202
South University-Savannah,Private,Yes,NULL,NULL,23886,33400,12667,0.1029,23886
Emory University,Private,No,0.2204,NULL,26760,66000,16250,0.9091,26760
Fort Valley State University,Public,No,0.4366,13192,NULL,30900,24250,0.2593,13192
Georgia Institute of Technology-Main Campus,Public,No,0.234,13291,NULL,79100,21500,0.8526,13291
Georgia Southwestern State University,Public,No,0.6747,12746,NULL,36400,12000,0.255,12746
Georgia College & State University,Public,No,0.7899,19686,NULL,40500,16283,0.6603,19686
Georgia Southern University,Public,No,0.6829,16548,NULL,41900,15750,0.4994,16548
Georgia State University,Public,No,0.6985,15506,NULL,43300,11750,0.5347,15506
University of Georgia,Public,No,0.5401,14625,NULL,50500,16750,0.8527,14625
LaGrange College,Private,No,0.5689,NULL,20432,39600,13441,0.4097,20432
Life University,Private,No,0.689,NULL,27652,35600,9854,0.1833,27652
Herzing University-Atlanta,Private,No,0.8642,NULL,23546,37800,12695,0.1724,23546
Mercer University,Private,No,0.7326,NULL,20812,48200,20000,0.6383,20812
Piedmont College,Private,No,0.5952,NULL,17869,40600,16218,0.496,17869
Reinhardt University,Private,No,0.8863,NULL,19113,36600,11000,0.3686,19113
Savannah College of Art and Design,Private,No,0.9287,NULL,40870,36400,17166,0.6482,40870
Savannah State University,Public,No,0.5575,10633,NULL,31300,15000,0.2776,10633
Shorter University,Private,No,0.5337,NULL,19439,43200,16168,0.3955,19439
Thomas University,Private,No,0.2256,NULL,21709,34300,14562,0.3737,21709
Truett McConnell University,Private,No,0.9462,NULL,17424,32600,12000,0.3837,17424
Valdosta State University,Public,No,0.7417,14656,NULL,38700,15750,0.3693,14656
Wesleyan College,Private,No,0.466,NULL,14974,29900,18187,0.5588,14974
University of West Georgia,Public,No,0.5862,15056,NULL,38200,13802,0.4049,15056
Chaminade University of Honolulu,Private,No,0.9223,NULL,20666,38400,15000,0.5428,20666
University of Hawaii at Hilo,Public,No,0.7788,13709,NULL,37900,13783,0.4101,13709
University of Hawaii at Manoa,Public,No,0.8315,15307,NULL,45800,14000,0.5995,15307
Hawaii Pacific University,Private,No,0.7468,NULL,28836,49900,12750,0.4447,28836
Boise State University,Public,No,0.8399,13796,NULL,37100,15250,0.4394,13796
Idaho State University,Public,No,NULL,16689,NULL,35700,13750,0.3032,16689
University of Idaho,Public,No,0.7309,14457,NULL,41900,17000,0.5486,14457
The College of Idaho,Private,No,0.7586,NULL,22444,40000,19500,0.6667,22444
Northwest Nazarene University,Private,No,0.7342,NULL,19046,39600,18500,0.5586,19046
School of the Art Institute of Chicago,Private,No,0.6982,NULL,41935,33500,19500,0.656,41935
Aurora University,Private,No,0.8732,NULL,17220,42700,16760,0.5323,17220
Bradley University,Private,No,0.7137,NULL,24814,53600,22117,0.7268,24814
Chicago State University,Public,No,0.7787,12592,NULL,33800,25000,0.1302,12592
University of Chicago,Private,No,0.0873,NULL,25455,68100,16000,0.9284,25455
Columbia College Chicago,Private,No,0.9161,NULL,31597,34400,19500,0.4397,31597
Concordia University-Chicago,Private,No,0.7472,NULL,17085,39700,15750,0.4781,17085
DePaul University,Private,No,0.7174,NULL,30559,53300,20000,0.7082,30559
Eastern Illinois University,Public,No,0.5151,14841,NULL,42200,18500,0.5632,14841
Elmhurst College,Private,No,0.7053,NULL,22183,48300,16227,0.6436,22183
Greenville University,Private,No,0.662,NULL,20460,36800,15750,0.4239,20460
Hebrew Theological College,Private,No,0.95,NULL,25095,21100,7500,0.0714,25095
University of Illinois at Chicago,Public,No,0.7708,13866,NULL,54300,14000,0.5657,13866
Benedictine University,Private,No,0.6217,NULL,23827,49000,17125,0.4981,23827
University of Illinois at Urbana-Champaign,Public,No,0.6153,18377,NULL,61500,15500,0.8503,18377
Illinois College,Private,No,0.5487,NULL,16501,42800,21250,0.6007,16501
Illinois Institute of Technology,Private,No,0.5403,NULL,22098,69100,21531,0.7223,22098
Argosy University-Chicago,Private,Yes,NULL,NULL,21089,41400,15585,0.0345,21089
Illinois State University,Public,No,0.8913,21345,NULL,47100,15500,0.6881,21345
