name,type,for_profit,admissions_rate,average_net_price_public,average_net_price_private,median_10yr_earnings,median_debt,completion_rate,average_net_price
Rhode Island School of Design,Private,No,0.3193,NULL,46277,51100,25000,0.9115,46277
Roger Williams University,Private,No,0.8229,NULL,35333,50500,19500,0.6472,35333
Salve Regina University,Private,No,0.7189,NULL,28368,53500,26717,0.709,28368
Northpoint Bible College,Private,No,NULL,NULL,23024,30300,13257,0.7,23024
Anderson University,Private,No,0.7907,NULL,21439,35200,19250,0.5673,21439
Charleston Southern University,Private,No,0.5632,NULL,17297,36900,16500,0.3484,17297
Southern Wesleyan University,Private,No,0.5257,NULL,16130,39200,17891,0.438,16130
College of Charleston,Public,No,0.8045,19311,NULL,40700,15750,0.6921,19311
Citadel Military College of South Carolina,Public,No,0.8107,17935,NULL,56800,18594,0.7343,17935
Claflin University,Private,No,0.4117,NULL,19962,28500,22750,0.5319,19962
Clemson University,Public,No,0.4718,17696,NULL,52400,19250,0.821,17696
Coker College,Private,No,0.617,NULL,15872,32800,16000,0.466,15872
Columbia International University,Private,No,0.2825,NULL,18191,29900,15000,0.6707,18191
Columbia College,Private,No,0.8682,NULL,18340,34600,15000,0.4922,18340
Converse College,Private,No,0.7126,NULL,21556,33900,17375,0.7208,21556
Erskine College,Private,No,0.5452,NULL,33408,37400,12375,0.5951,33408
Francis Marion University,Public,No,0.6005,12619,NULL,33100,18750,0.3733,12619
Furman,Private,No,0.6118,NULL,28057,51200,19500,0.8051,28057
Lander University,Public,No,0.4757,14508,NULL,34200,12463,0.4235,14508
Limestone College,Private,No,0.5045,NULL,24073,37400,16000,0.4336,24073
North Greenville University,Private,No,0.6085,NULL,26450,34400,13000,0.5112,26450
Presbyterian College,Private,No,0.6517,NULL,19774,44500,18600,0.6852,19774
University of South Carolina-Aiken,Public,No,0.5294,14927,NULL,37100,14000,0.4073,14927
University of South Carolina-Columbia,Public,No,0.7231,19519,NULL,44900,19000,0.7502,19519
Coastal Carolina University,Public,No,0.6119,16337,NULL,38500,15415,0.4229,16337
South Carolina State University,Public,No,0.7826,21795,NULL,29800,19874,0.3598,21795
University of South Carolina-Upstate,Public,No,0.5784,14896,NULL,36900,15000,0.4328,14896
Winthrop University,Public,No,0.7339,17274,NULL,35900,20250,0.5707,17274
Augustana University,Private,No,0.678,NULL,18514,43700,22330,0.7103,18514
Black Hills State University,Public,No,0.8695,15839,NULL,35900,12500,0.3532,15839
Dakota State University,Public,No,0.8436,16940,NULL,38700,13105,0.3605,16940
Dakota Wesleyan University,Private,No,0.7604,NULL,20336,37200,18546,0.5155,20336
Mount Marty College,Private,No,0.6652,NULL,20396,36600,17500,0.5862,20396
Northern State University,Public,No,0.8783,14821,NULL,35300,16795,0.4512,14821
South Dakota School of Mines and Technology,Public,No,0.8339,19759,NULL,56500,18500,0.5074,19759
South Dakota State University,Public,No,0.9137,19415,NULL,44400,15000,0.5492,19415
University of Sioux Falls,Private,No,0.9201,NULL,20014,40100,16500,0.4944,20014
University of South Dakota,Public,No,0.8691,17359,NULL,42000,16879,0.5519,17359
Austin Peay State University,Public,No,0.9013,12619,NULL,34900,12500,0.3752,12619
Belmont University,Private,No,0.8119,NULL,34819,44100,17500,0.6962,34819
Bethel University,Private,No,0.9359,NULL,14294,38600,17250,0.2715,14294
Bryan College-Dayton,Private,No,0.5434,NULL,15532,41300,12000,0.4638,15532
Carson-Newman University,Private,No,0.6736,NULL,18003,36000,13000,0.4574,18003
Christian Brothers University,Private,No,0.5263,NULL,9468,44200,19184,0.4332,9468
Cumberland University,Private,No,0.5408,NULL,21318,38700,14000,0.4974,21318
Lipscomb University,Private,No,0.6043,NULL,24279,43200,15750,0.592,24279
East Tennessee State University,Public,No,0.8547,14218,NULL,35100,14025,0.4116,14218
Fisk University,Private,No,0.4541,NULL,28362,35000,24155,0.5172,28362
Welch College,Private,No,NULL,NULL,20871,30100,12000,0.4808,20871
Freed-Hardeman University,Private,No,0.9532,NULL,17308,37100,18750,0.5469,17308
Johnson University,Private,No,0.9798,NULL,15663,29800,16370,0.6282,15663
King University,Private,No,0.5141,NULL,18317,43500,18431,0.5202,18317
South College,Private,Yes,NULL,NULL,23907,26700,9500,0.3906,23907
Lee University,Private,No,0.8504,NULL,18168,34200,17500,0.5195,18168
Lincoln Memorial University,Private,No,0.6534,NULL,18466,38200,14495,0.461,18466
Martin Methodist College,Private,No,0.987,NULL,19320,32700,12000,0.3384,19320
Memphis College of Art,Private,No,0.5404,NULL,32368,27100,18519,0.4681,32368
University of Memphis,Public,No,0.8482,13921,NULL,37400,16750,0.4321,13921
Middle Tennessee State University,Public,No,0.5935,12416,NULL,38700,15000,0.4401,12416
Rhodes College,Private,No,0.5105,NULL,25629,53600,19500,0.8279,25629
The University of the South,Private,No,0.4673,NULL,27544,45500,15000,0.7731,27544
Southern Adventist University,Private,No,NULL,NULL,20762,38500,20000,0.5235,20762
Tennessee Wesleyan University,Private,No,0.5991,NULL,5815,38500,14704,0.3981,5815
The University of Tennessee-Chattanooga,Public,No,0.8279,14892,NULL,38100,13000,0.4517,14892
The University of Tennessee-Knoxville,Public,No,0.7697,19335,NULL,45100,15000,0.7023,19335
The University of Tennessee-Martin,Public,No,0.6151,10358,NULL,36200,15644,0.5023,10358
Tennessee State University,Public,No,NULL,11083,NULL,35300,15000,0.2879,11083
Tennessee Technological University,Public,No,0.644,14410,NULL,40500,12500,0.4941,14410
Trevecca Nazarene University,Private,No,0.7038,NULL,18549,40500,13000,0.5382,18549
Tusculum University,Private,No,0.8864,NULL,16774,38300,16750,0.3344,16774
Union University,Private,No,0.5998,NULL,22839,43200,20750,0.6844,22839
Vanderbilt University,Private,No,0.1085,NULL,19959,69000,13000,0.9172,19959
Abilene Christian University,Private,No,0.5806,NULL,26037,43000,16000,0.6148,26037
Angelo State University,Public,No,0.7359,13144,NULL,40200,11000,0.3658,13144
Arlington Baptist University,Private,No,NULL,NULL,17892,32700,13625,0.22,17892
Austin College,Private,No,0.5216,NULL,21008,48200,17500,0.6732,21008
Baylor University,Private,No,0.3895,NULL,34898,51600,19500,0.7659,34898
Concordia University Texas,Private,No,0.8878,NULL,23030,44500,14251,0.3494,23030
Texas A & M University-Corpus Christi,Public,No,0.6046,16159,NULL,43400,12000,0.3625,16159
Dallas Baptist University,Private,No,0.3942,NULL,25334,43200,16000,0.5786,25334
University of Dallas,Private,No,0.4745,NULL,23663,47400,18998,0.6819,23663
East Texas Baptist University,Private,No,0.5442,NULL,19841,40500,11660,0.31,19841
Texas A&M University-Texarkana,Public,No,0.5385,11780,NULL,35900,11005,0.2967,11780
Texas A & M University-Commerce,Public,No,0.3454,11704,NULL,39300,14683,0.4168,11704
Miami International University of Art & Design-Art Institute Dallas,Private,Yes,NULL,NULL,21698,33400,12667,0.2205,21698
Hallmark University,Private,No,0.3865,NULL,11360,32600,16483,0.5321,11360
Hardin-Simmons University,Private,No,0.8177,NULL,29845,43300,15750,0.5102,29845
Houston Baptist University,Private,No,0.6901,NULL,20852,45800,13055,0.4819,20852
University of Houston-Downtown,Public,No,0.8408,8950,NULL,45000,15000,0.2076,8950
University of Houston-Victoria,Public,No,0.4881,10615,NULL,41800,13124,0.1838,10615
University of Houston,Public,No,0.6111,16392,NULL,51600,13500,0.5368,16392
Howard Payne University,Private,No,0.5917,NULL,22137,37600,10575,0.4143,22137
Huston-Tillotson University,Private,No,0.2981,NULL,17384,30800,17500,0.2265,17384
University of the Incarnate Word,Private,No,0.9385,NULL,21431,46500,23000,0.5342,21431
Lamar University,Public,No,0.8165,12941,NULL,39500,12500,0.2964,12941
Texas A & M International University,Public,No,0.4959,4884,NULL,45800,10500,0.4365,4884
LeTourneau University,Private,No,0.4708,NULL,21381,48200,20000,0.6021,21381
Lubbock Christian University,Private,No,0.9407,NULL,22393,41800,14825,0.4673,22393
University of Mary Hardin-Baylor,Private,No,0.7884,NULL,23966,44200,18500,0.4833,23966
McMurry University,Private,No,0.4335,NULL,22429,41000,12500,0.3636,22429
Midwestern State University,Public,No,0.814,10451,NULL,41100,13750,0.4455,10451
University of North Texas,Public,No,0.7241,13832,NULL,45000,14000,0.5431,13832
Our Lady of the Lake University,Private,No,0.913,NULL,17640,39300,18808,0.3827,17640
The University of Texas Rio Grande Valley,Public,No,0.8048,3901,NULL,41900,9125,0.4481,3901
Prairie View A & M University,Public,No,0.7893,11090,NULL,35700,17749,0.3479,11090
Rice University,Private,No,0.1586,NULL,20237,65400,10250,0.9144,20237
Saint Edward's University,Private,No,0.8418,NULL,22968,46500,19988,0.6359,22968
University of St Thomas,Private,No,0.8094,NULL,17309,49600,16750,0.5726,17309
Sam Houston State University,Public,No,0.7439,13560,NULL,44600,16069,0.5127,13560
Schreiner University,Private,No,0.9236,NULL,18204,40200,14250,0.4764,18204
St. Mary's University,Private,No,0.799,NULL,17522,46600,19500,0.6279,17522
Southern Methodist University,Private,No,0.4877,NULL,32190,60700,17125,0.8054,32190
Southwestern Assemblies of God University,Private,No,0.2788,NULL,24909,35700,15000,0.4444,24909
Stephen F Austin State University,Public,No,0.6543,13057,NULL,41900,17000,0.4377,13057
Texas State University,Public,No,0.7298,15545,NULL,45700,14415,0.5394,15545
Southwestern Adventist University,Private,No,0.6237,NULL,20553,41500,19500,0.3701,20553
Sul Ross State University,Public,No,0.9963,12761,NULL,37900,10196,0.2222,12761
Tarleton State University,Public,No,0.5038,17576,NULL,42500,13750,0.4635,17576
Texas A & M University-Kingsville,Public,No,0.8413,13188,NULL,42600,14250,0.3474,13188
Texas A & M University-College Station,Public,No,0.7054,20282,NULL,58000,15000,0.821,20282
The University of Texas at Arlington,Public,No,0.7122,13200,NULL,48700,12500,0.4998,13200
The University of Texas at Austin,Public,No,0.3649,16960,NULL,58200,18118,0.8285,16960
The University of Texas at Dallas,Public,No,0.7603,14763,NULL,53100,13250,0.6917,14763
The University of Texas at El Paso,Public,No,1,8135,NULL,40000,11774,0.4064,8135
The University of Texas at Tyler,Public,No,0.6499,13363,NULL,44200,12500,0.4241,13363
Texas Christian University,Private,No,0.4108,NULL,35429,52800,17934,0.8262,35429
Texas Lutheran University,Private,No,0.4853,NULL,19103,45600,13000,0.5151,19103
The University of Texas of the Permian Basin,Public,No,0.8946,10117,NULL,46100,10000,0.4259,10117
The University of Texas at San Antonio,Public,No,0.7946,12745,NULL,45300,14398,0.3666,12745
Texas Southern University,Public,No,0.6666,19676,NULL,31300,14250,0.2337,19676
Texas Tech University,Public,No,0.6918,17134,NULL,51400,15154,0.5928,17134
Texas Wesleyan University,Private,No,0.3427,NULL,28325,42000,12500,0.3457,28325
Texas Woman's University,Public,No,0.8571,9493,NULL,44700,14842,0.3551,9493
Trinity University,Private,No,0.3844,NULL,23144,54900,19500,0.7972,23144
Wayland Baptist University,Private,No,0.9876,NULL,19137,41300,13420,0.2006,19137
West Texas A & M University,Public,No,0.6136,14916,NULL,42700,13008,0.4057,14916
Brigham Young University-Provo,Private,No,0.524,NULL,12974,59700,9000,0.827,12974
Broadview University-West Jordan,Private,Yes,NULL,NULL,21484,28100,8332,0,21484
Southern Utah University,Public,No,0.758,14376,NULL,39800,7364,0.4677,14376
Utah State University,Public,No,0.8908,13279,NULL,43200,8750,0.4978,13279
Utah Valley University,Public,No,NULL,7995,NULL,43800,9000,0.298,7995
University of Utah,Public,No,0.6615,13728,NULL,53000,13200,0.674,13728
Weber State University,Public,No,NULL,12061,NULL,44500,9500,0.3349,12061
Westminster College,Private,No,0.9271,NULL,20826,49800,16750,0.6185,20826
Bennington College,Private,No,0.5659,NULL,29815,29500,18500,0.6745,29815
Castleton University,Public,No,0.8154,17215,NULL,37900,18500,0.5418,17215
Champlain College,Private,No,0.7504,NULL,34833,45400,17500,0.6045,34833
Goddard College,Private,No,1,NULL,20392,25400,18222,0.4286,20392
Green Mountain College,Private,No,0.7829,NULL,22524,30300,17500,0.5071,22524
Northern Vermont University,Public,No,0.8695,15018,NULL,33200,13500,0.3782,15018
Middlebury College,Private,No,0.171,NULL,26075,58200,12000,0.9452,26075
Norwich University,Private,No,0.6453,NULL,22438,53700,15150,0.5911,22438
Saint Michael's College,Private,No,0.851,NULL,30142,50800,24213,0.7841,30142
College of St Joseph,Private,No,0.5411,NULL,17891,36700,13524,0.3171,17891
University of Vermont,Public,No,0.672,18877,NULL,47300,17352,0.7495,18877
Averett University,Private,No,0.6102,NULL,20938,41800,17750,0.4048,20938
Bluefield College,Private,No,0.9112,NULL,21785,40900,12500,0.2053,21785
College of William and Mary,Public,No,0.3592,19720,NULL,58500,16395,0.921,19720
Regent University,Private,No,0.783,NULL,17842,41600,9500,0.6087,17842
Christopher Newport University,Public,No,0.7239,22351,NULL,46900,21000,0.7454,22351
Jefferson College of Health Sciences,Private,No,0.3922,NULL,29899,54000,18250,0.4571,29899
Emory & Henry College,Private,No,0.7223,NULL,19340,40700,18846,0.5182,19340
Eastern Mennonite University,Private,No,0.5373,NULL,23343,40300,15761,0.6325,23343
George Mason University,Public,No,0.8132,19779,NULL,59900,16750,0.7086,19779
Hampton University,Private,No,0.362,NULL,26458,44700,16250,0.5556,26458
Hollins University,Private,No,0.4838,NULL,19456,35400,19566,0.6209,19456
James Madison University,Public,No,0.752,20204,NULL,56600,17419,0.8258,20204
Liberty University,Private,No,0.2979,NULL,27573,36700,17500,0.4697,27573
Longwood University,Public,No,0.9183,20437,NULL,41500,17504,0.6832,20437
University of Lynchburg,Private,No,0.7455,NULL,22420,43600,21745,0.5881,22420
Mary Baldwin University,Private,No,0.947,NULL,17850,37200,18993,0.452,17850
University of Mary Washington,Public,No,0.735,21227,NULL,51400,15000,0.7065,21227
Marymount University,Private,No,0.9226,NULL,24314,53600,19500,0.5348,24314
American National University,Private,Yes,NULL,NULL,18946,21000,9815,0.4101,18946
Norfolk State University,Public,No,0.9013,15259,NULL,35800,20695,0.4205,15259
Old Dominion University,Public,No,0.8572,15368,NULL,43700,17500,0.544,15368
Radford University,Public,No,0.7432,16743,NULL,43000,16000,0.5517,16743
Randolph College,Private,No,0.8644,NULL,25614,39700,17500,0.5876,25614
University of Richmond,Private,No,0.3297,NULL,26264,64500,19000,0.8821,26264
Shenandoah University,Private,No,0.8325,NULL,29280,45800,20500,0.6327,29280
Strayer University-Virginia,Private,Yes,NULL,NULL,24289,45900,12667,0.1143,24289
Sweet Briar College,Private,No,0.928,NULL,21291,38200,20500,0.5412,21291
Virginia Polytechnic Institute and State University,Public,No,0.7006,20343,NULL,62500,20500,0.844,20343
Virginia Commonwealth University,Public,No,0.839,21655,NULL,44000,18750,0.6255,21655
University of Virginia-Main Campus,Public,No,0.2735,20547,NULL,61200,15500,0.9458,20547
Virginia State University,Public,No,0.9111,15063,NULL,35200,19416,0.4212,15063
Virginia Union University,Private,No,0.4392,NULL,21073,32000,17333,0.2657,21073
Washington and Lee University,Private,No,0.22,NULL,25961,76100,18500,0.9189,25961
Central Washington University,Public,No,0.8634,14382,NULL,46500,13406,0.5154,14382
Eastern Washington University,Public,No,0.962,12885,NULL,43100,14893,0.5245,12885
The Evergreen State College,Public,No,0.9628,12147,NULL,33200,12500,0.5728,12147
Gonzaga University,Private,No,0.6485,NULL,32623,56100,21250,0.8726,32623
Heritage University,Private,No,NULL,NULL,10234,35900,12809,0.2252,10234
Northwest University,Private,No,0.9744,NULL,21802,41300,13000,0.5886,21802
Pacific Lutheran University,Private,No,0.7539,NULL,24034,49400,19542,0.7045,24034
University of Puget Sound,Private,No,0.8387,NULL,37074,52700,19500,0.7807,37074
Saint Martin's University,Private,No,0.9751,NULL,21416,47800,17187,0.5913,21416
Seattle Pacific University,Private,No,0.9087,NULL,30299,49100,19187,0.6868,30299
Seattle University,Private,No,0.738,NULL,35006,56500,18822,0.7483,35006
Walla Walla University,Private,No,NULL,NULL,23106,46400,21000,0.612,23106
Washington State University,Public,No,0.7306,16314,NULL,50600,14750,0.6244,16314
University of Washington-Seattle Campus,Public,No,0.4642,12037,NULL,57700,12750,0.8439,12037
Western Washington University,Public,No,0.8479,16220,NULL,45800,14784,0.6904,16220
Whitworth University,Private,No,0.8901,NULL,28229,42100,21000,0.7495,28229
Alderson Broaddus University,Private,No,0.4063,NULL,17835,40400,14000,0.4745,17835
Appalachian Bible College,Private,No,0.5895,NULL,15471,26700,8750,0.5652,15471
Bethany College,Private,No,0.9404,NULL,20337,40400,20497,0.4579,20337
University of Charleston,Private,No,0.6449,NULL,14138,40800,12000,0.4939,14138
Concord University,Public,No,0.9019,8937,NULL,32300,11000,0.346,8937
Fairmont State University,Public,No,0.7061,10379,NULL,33000,12500,0.366,10379
Marshall University,Public,No,0.9019,9484,NULL,35600,15250,0.493,9484
Ohio Valley University,Private,No,0.2859,NULL,17061,37200,12000,0.2973,17061
Salem University,Private,Yes,NULL,NULL,20074,28900,9337,0.2209,20074
Shepherd University,Public,No,0.8913,9908,NULL,39700,15000,0.4202,9908
West Virginia State University,Public,No,0.9758,8976,NULL,29800,12100,0.2628,8976
West Liberty University,Public,No,0.7176,13339,NULL,36400,16000,0.4789,13339
West Virginia Wesleyan College,Private,No,0.7064,NULL,18232,43600,19136,0.4963,18232
West Virginia University,Public,No,0.719,11825,NULL,45800,14708,0.5676,11825
Wheeling Jesuit University,Private,No,0.514,NULL,17638,46200,17910,0.6359,17638
Alverno College,Private,No,0.8941,NULL,17753,38800,24183,0.4508,17753
Madison Area Technical College,Public,No,NULL,11290,NULL,36500,9471,0.2141,11290
Bellin College,Private,No,0.8889,NULL,25881,58600,15000,0.6667,25881
Cardinal Stritch University,Private,No,0.7835,NULL,17199,48500,24490,0.4453,17199
Carroll University,Private,No,0.7082,NULL,22736,44200,23000,0.6581,22736
Carthage College,Private,No,0.6787,NULL,26532,44700,19500,0.5979,26532
Concordia University-Wisconsin,Private,No,0.6319,NULL,25457,42800,19500,0.5348,25457
Edgewood College,Private,No,0.7111,NULL,24228,43300,20000,0.6088,24228
Lakeland University,Private,No,0.5166,NULL,20281,42800,19200,0.592,20281
Maranatha Baptist University,Private,No,0.73,NULL,18300,33000,12000,0.5047,18300
Marian University,Private,No,0.6758,NULL,22346,41700,16743,0.4781,22346
Marquette University,Private,No,0.8933,NULL,29120,62600,21261,0.8031,29120
Milwaukee School of Engineering,Private,No,0.6284,NULL,21328,71300,25000,0.6689,21328
Mount Mary University,Private,No,0.5599,NULL,19156,40000,19750,0.386,19156
Saint Norbert College,Private,No,0.7922,NULL,24930,46400,21500,0.7365,24930
Silver Lake College of the Holy Family,Private,No,0.5154,NULL,20229,37600,13500,0.587,20229
Viterbo University,Private,No,0.6145,NULL,19421,43200,20500,0.5503,19421
University of Wisconsin-Whitewater,Public,No,0.7035,14310,NULL,42600,18250,0.6167,14310
University of Wisconsin-Eau Claire,Public,No,0.7567,16188,NULL,46200,15063,0.6656,16188
University of Wisconsin-Green Bay,Public,No,0.7553,14443,NULL,40800,13000,0.5109,14443
University of Wisconsin-La Crosse,Public,No,0.7337,14424,NULL,48000,17500,0.7055,14424
Wisconsin Lutheran College,Private,No,0.9025,NULL,20073,41300,19208,0.6654,20073
University of Wisconsin-Oshkosh,Public,No,0.6309,15307,NULL,42700,16750,0.5234,15307
University of Wisconsin-Parkside,Public,No,0.6077,10849,NULL,39900,14000,0.3402,10849
Herzing University-Madison,Private,No,0.828,NULL,23304,37800,12695,0.2275,23304
University of Wisconsin-Stout,Public,No,0.8718,15679,NULL,45100,15750,0.5425,15679
University of Wisconsin-Superior,Public,No,0.7618,13023,NULL,36700,15250,0.434,13023
University of Wisconsin-Madison,Public,No,0.5381,19880,NULL,56200,18750,0.8723,19880
University of Wisconsin-Milwaukee,Public,No,0.7248,16650,NULL,44200,16534,0.4148,16650
University of Wisconsin-Platteville,Public,No,0.7971,15237,NULL,47300,16500,0.5283,15237
University of Wisconsin-River Falls,Public,No,0.7452,14553,NULL,40900,14250,0.5291,14553
University of Wisconsin-Stevens Point,Public,No,0.8356,14005,NULL,40200,15760,0.6502,14005
University of Wyoming,Public,No,0.9682,13070,NULL,47300,12500,0.582,13070
University of Guam,Public,No,NULL,8899,NULL,30100,12000,0.3451,8899
American University of Puerto Rico,Private,No,NULL,NULL,10768,21700,3850,0.2682,10768
American University of Puerto Rico,Private,No,NULL,NULL,11489,21700,3850,0.323,11489
Universidad Adventista de las Antillas,Private,No,0.9635,NULL,7927,20300,10850,0.3744,7927
Atlantic University College,Private,No,NULL,NULL,4266,20100,3600,0.2881,4266
Universidad Central de Bayamon,Private,No,0.8685,NULL,6847,19600,6750,0.1629,6847
Caribbean University-Bayamon,Private,No,NULL,NULL,3170,18700,6000,0.2342,3170
Caribbean University-Carolina,Private,No,NULL,NULL,4378,18700,6000,0.2086,4378
Pontifical Catholic University of Puerto Rico-Arecibo,Private,No,0.9516,NULL,8465,18500,10092,0.3391,8465
Pontifical Catholic University of Puerto Rico-Ponce,Private,No,0.9264,NULL,9947,18500,10092,0.3916,9947
Universidad Teologica del Caribe,Private,No,NULL,NULL,6452,20200,8250,0.5,6452
Universidad Ana G. Mendez-Cupey Campus,Private,No,NULL,NULL,8288,19400,8250,0.3289,8288
Conservatory of Music of Puerto Rico,Public,No,0.6569,6758,NULL,15100,8500,0.5455,6758
EDP University of Puerto Rico Inc-San Sebastian,Private,No,NULL,NULL,7982,18700,9500,0.03,7982
Inter American University of Puerto Rico-San German,Private,No,0.6899,NULL,8819,19800,6000,0.4054,8819
Inter American University of Puerto Rico-Aguadilla,Private,No,0.5735,NULL,7674,19800,5500,0.3093,7674
Inter American University of Puerto Rico-Arecibo,Private,No,0.5755,NULL,8233,19800,5500,0.3783,8233
Inter American University of Puerto Rico-Barranquitas,Private,No,0.561,NULL,7912,19800,2500,0.3857,7912
Inter American University of Puerto Rico-Ponce,Private,No,0.592,NULL,7664,19800,4500,0.3975,7664
Inter American University of Puerto Rico-Fajardo,Private,No,0.8116,NULL,8333,19800,5000,0.3481,8333
Inter American University of Puerto Rico-Guayama,Private,No,0.4567,NULL,8138,19800,6500,0.2804,8138
Inter American University of Puerto Rico-Bayamon,Private,No,0.6258,NULL,8119,19800,5500,0.3125,8119
National University College,Private,Yes,0.5933,NULL,9500,17400,8475,0.2392,9500
Universidad Ana G. Mendez-Carolina Campus,Private,No,NULL,NULL,8194,19600,6838,0.2813,8194
Universidad del Sagrado Corazon,Private,No,0.4073,NULL,8820,20200,11250,0.36,8820
Universidad Central Del Caribe,Private,No,0.7742,NULL,17538,29100,6000,0.4,17538
Universidad Politecnica de Puerto Rico,Private,No,NULL,NULL,15047,29800,11000,0.249,15047
Pontifical Catholic University of Puerto Rico-Mayaguez,Private,No,0.9885,NULL,8038,18500,10092,0.3237,8038
Universidad Ana G. Mendez-Gurabo Campus,Private,No,NULL,NULL,8232,19700,7000,0.2755,8232
University of the Virgin Islands,Public,No,0.9844,11968,NULL,32000,9321,0.22,11968
Stanford University,Private,No,0.0473,NULL,13261,94000,10000,0.9425,13261
Purdue University-Main Campus,Public,No,0.5747,13746,NULL,55100,15750,0.7836,13746
EDP University of Puerto Rico Inc-San Juan,Private,No,0.8367,NULL,7238,18700,9500,0.3626,7238
St. John's College,Private,No,0.6316,NULL,20605,33500,14750,0.6506,20605
Mid-America Christian University,Private,No,NULL,NULL,16992,37700,12125,0.4891,16992
ECPI University,Private,Yes,0.7129,NULL,20327,34600,13099,0.4741,20327
South University-Columbia,Private,Yes,NULL,NULL,19577,33400,12667,0.1087,19577
Purdue University Global-Davenport,Private,Yes,NULL,NULL,16904,33900,12500,0.3947,16904
Caribbean University-Ponce,Private,No,NULL,NULL,4225,18700,6000,0.2216,4225
Caribbean University-Vega Baja,Private,No,NULL,NULL,3967,18700,6000,0.1933,3967
University of Advancing Technology,Private,Yes,0.8474,NULL,19713,46400,14250,0.1942,19713
California State University-San Marcos,Public,No,0.5676,11029,NULL,47300,12500,0.5313,11029
Argosy University-Hawaii,Private,Yes,NULL,NULL,17813,41400,15585,0,17813
Purdue University Global-Des Moines,Private,Yes,NULL,NULL,21848,33900,12500,0.425,21848
Hodges University,Private,No,0.5792,NULL,19746,37100,14250,0.2707,19746
Argosy University-Atlanta,Private,Yes,NULL,NULL,20057,41400,15585,0.2857,20057
University of Washington-Bothell Campus,Public,No,0.8011,8893,NULL,57700,12750,0.6362,8893
University of Washington-Tacoma Campus,Public,No,0.8385,7953,NULL,57700,12750,0.5845,7953
Pacific College of Oriental Medicine-San Diego,Private,Yes,NULL,NULL,22299,22600,12271,0.3333,22299
University of Phoenix-Utah,Private,Yes,NULL,NULL,15063,47100,18500,0.141,15063
University of the Potomac-Washington DC Campus,Private,Yes,NULL,NULL,20829,47600,13002,0.1458,20829
Everglades University,Private,No,0.7344,NULL,27092,42100,21813,0.5063,27092
Herzing University-Winter Park,Private,No,0.7609,NULL,20955,37800,12695,0.2917,20955
Southwest University of Visual Arts-Albuquerque,Private,Yes,NULL,NULL,27755,30200,32875,0.6,27755
University of Phoenix-New Mexico,Private,Yes,NULL,NULL,14010,47100,18500,0.1784,14010
Arizona State University-West,Public,No,0.7965,8481,NULL,47700,14271,0.5772,8481
Florida National University-Main Campus,Private,Yes,NULL,NULL,21127,23800,12498,0.6119,21127
California State University-Monterey Bay,Public,No,0.532,11167,NULL,44800,11000,0.6016,11167
Capella University,Private,Yes,NULL,NULL,15667,63600,10225,0,15667
Pacific College of Oriental Medicine-New York,Private,Yes,NULL,NULL,28924,22600,12271,0.375,28924
Trine University-Regional/Non-Traditional Campuses,Private,No,NULL,NULL,16645,43300,17750,0.2222,16645
New York College of Health Professions,Private,No,NULL,NULL,20745,31400,16629,0.4355,20745
University of Phoenix-Hawaii,Private,Yes,NULL,NULL,14752,47100,18500,0.2453,14752
Virginia College-Birmingham,Private,Yes,NULL,NULL,29708,24600,11374,0.1561,29708
Arizona State University-Polytechnic,Public,No,0.7628,11059,NULL,47700,14271,0.5906,11059
Argosy University-Schaumburg,Private,Yes,NULL,NULL,21829,41400,15585,0,21829
Embry-Riddle Aeronautical University-Worldwide,Private,No,0.6327,NULL,19648,66200,13750,0.2543,19648
Argosy University-Tampa,Private,Yes,NULL,NULL,18378,41400,15585,0.5,18378
Strayer University-Maryland,Private,Yes,NULL,NULL,23328,45900,12667,0.4737,23328
New Hampshire Institute of Art,Private,No,0.9943,NULL,28458,25200,22250,0.4836,28458
University of Phoenix-Washington,Private,Yes,NULL,NULL,13875,47100,18500,0.1495,13875
California Aeronautical University,Private,Yes,NULL,NULL,17909,31600,12000,0.4571,17909
Herzing University-Kenner,Private,No,0.8684,NULL,24494,37800,12695,0.25,24494
Florida Gulf Coast University,Public,No,0.6426,15376,NULL,42100,12625,0.481,15376
Argosy University-Phoenix,Private,Yes,NULL,NULL,20147,41400,15585,0.1667,20147
Argosy University-Orange County,Private,Yes,NULL,NULL,23807,41400,15585,0.6,23807
University of Connecticut-Waterbury Campus,Public,No,0.9588,8224,NULL,58400,19000,0.59,8224
University of Connecticut-Avery Point,Public,No,0.9416,9617,NULL,58400,19000,0.5837,9617
University of Connecticut-Stamford,Public,No,0.8232,7280,NULL,58400,19000,0.642,7280
Stevens-Henager College,Private,No,NULL,NULL,29274,28800,9246,0.1025,29274
Stratford University,Private,Yes,NULL,NULL,22565,35500,17139,0.0625,22565
American InterContinental University-Atlanta,Private,Yes,NULL,NULL,19752,37300,9500,0.1405,19752
Johnson & Wales University-Denver,Private,No,0.8397,NULL,23859,38800,15250,0.5693,23859
The King's University,Private,No,0.519,NULL,22942,39100,16500,0.1538,22942
Acupuncture and Massage College,Private,Yes,NULL,NULL,20324,24500,7600,0.65,20324
California State University-Channel Islands,Public,No,0.7827,15491,NULL,49800,12500,0.5947,15491
University of Phoenix-Illinois,Private,Yes,NULL,NULL,15258,47100,18500,0.1239,15258
Argosy University-Dallas,Private,Yes,NULL,NULL,22555,41400,15585,0.1429,22555
